,Name,Dialog,Conversational voice,CurrentSprite,Background,BackgroundSound,Face
1,,有人说高中是一生中回不去的青春，我却并不怀念我的高中时光，我怀念的只是高中的事情和人罢了。,,,,,
2,,"高二时班里的气氛开始紧张，可能是校长去外校参观过后突然开悟，整出来一个""半月考""。",,,,,
3,,我的成绩也在缓缓地退步。,,,,,
4,,倒不是因为自己不努力，只是大家都过于努力，而我还在原地踏步，自然也就相对后退了。,,,,,
5,,我摊开教辅书，窗外是无止境的蝉鸣。,,,,,
6,,和平常一样，傍晚时分我们依旧相遇在路口，然后牵起对方的手，一起回家。,,,,,
7,,似乎突然想到了什么，岚突然歪过头对我说：,,,,,
8,岚,要不你帮我补课吧,/Game/Assets/Audio/ConversationalVoice/008_要不你帮我补课吧.008_要不你帮我补课吧,,,,
9,,你就这么相信我？,,,,,
10,,我笑了笑，将她的手抓的更紧了。,,,,,
11,,岚的情况比我还要糟糕。本来当初就是擦边进的学校，因为各方面的原因，成绩已经亮起了红灯。又因为高二分科后压力过大，有了开摆的趋势。,,,,,
12,,虽然我也在摆烂就是了。,,,,,
13,,后来市里为了响应号召，开始大力发展教育，将我们学校的放学时间推迟到了晚上九点。,,,,,
14,,这意味着我们见面的时间更少了。,,,,,
15,,每个年龄都会有不同的烦恼，我也不例外。,,,,,
16,,我苦恼于每天与岚相处的时间越来越少，于是每天发呆的时间越来越多。,,,,,
17,,岚苦恼于人际关系不好相处，成绩越来越差，于是开摆的趋势越来越大。,,,,,
18,,晚上九点，我们还是相约在熟悉的路口，只不过话变少了。,,,,,
19,,本就相处不多的时间里沉默占了多数。,,,,,
20,,在有些微妙的氛围中，我们还算平安地度过了高二的第一个学期。,,,,,
21,,只是瞟了一眼成绩单，我便将其收起。,,,,,
22,,我又退步了一百多名，倒不如说是一百多人正在努力的学习。,,,,,
23,,岚那边似乎在测试学校的底线——她的成绩已经到了年级的末尾。,,,,,
24,,这节课讲解试卷,,,,,
25,,特别是某些退步严重的同学得好好听,,,,,
26,,即使没有点名道姓，我仍然感觉一股炙热的目光在盯着我。,,,,,
27,,我退步没那么大好吧。,,,,,
28,月,可是你从前一百掉到了三百末尾,,,,,
29,,基友拍拍我的肩，轻声说道。,,,,,
30,月,老师们都觉得是你在谈恋爱导致的,,,,,
31,,我？和谁？,,,,,
32,,还能有谁，就隔壁学校的那个,,,,,
33,,那不在一个学校他们也管不着吧,,,,,
34,,我的学校明文规定禁止早恋，但我觉得自己能钻空子躲过去。,,,,,
35,,"""我不好说，你知道学校德行的""  我沉默了。",,,,,
36,,现在这个年纪，我觉得应该把爱埋在心底,,,,,
37,,你想要我分手？你不是没谈过恋爱吗？,,,,,
38,,你承认了,,,,,
39,,基友又一次拍了拍我的肩。,,,,,
40,,去你丫的，居然敢诈我。,,,,,
41,,于是班级里开始传来我谈恋爱的风言风语，好在我和岚不在一个学校，老师们也没有掌握实质性证据。,,,,,
42,,我也选择不去避讳这件事。,,,,,
43,,晚上，还是相遇在熟悉的十字路口，只不过沉默占据了我们的空间。,,,,,
44,,老师那边找我谈话了,,,,,
45,,不知过了多久，岚终于打破了沉默。,,,,,
46,岚,说我这期期末考还是这个成绩，就要……,/Game/Assets/Audio/ConversationalVoice/009_说我这期期末考还是这个成绩，就要…….009_说我这期期末考还是这个成绩，就要……,,,,
47,,岚没有说下去，但我们都知道的。,,,,,
